All,Kaikki
"Product Listing Sort by","Tuotelistauksen lajittelu"
"Allow All Products per Page","Salli kaikki tuotteet samalla sivulla"
"Product Image Placeholders","Tuotekuvien paikanpitäjät"
"Page Title Separator","Sivuotsikon erotinmerkki"
"Use JavaScript Calendar","Käytä JavaScript-kalenteria"
"Time Format",Aikamuoto
"Please use a four-digit year format.","Käytä nelinumeroista vuosilukua."
"Top Level Category","Ylätason kategoria"
Quality,Laatu
"Category Products","Tuoteryhmän tuotteet"
"Product Categories",Tuotekategoriat
"Product Price","Tuotteen hinta"
"Display Type",Näyttötyyppi
"All products - recently added products, New products - products marked as new","Kaikki tuotteet - äskettäin lisätyt tuotteet, Uudet tuotteet - uudeksi merkityt tuotteet"
"All products","Kaikki tuotteet"
"New products","Uudet tuotteet"
"Number of Products per Page","Tuotteita per sivu"
"Number of Products to Display","Näytettävien tuotteiden määrä"
Template,Malli
"Select Product...","Valitse tuote..."
"If empty, we'll use the product name here.","Jos tyhjä, käytämme tuotteen nimeä täällä."
"Select Category...","Valitse kategoria..."
"Recently Viewed Products","Äskettäin katsotut tuotteet"
"Number of Products to display","Näytettävien tuotteiden määrä"
Image,Kuva
"Learn More Link","Lue lisää-linkki"
"Buttons to show","Näytettävät painikkeet"
"Add to Wishlist","Lisää toivelistaan"
"Recently Compared Products","Äskettäin vertaillut tuotteet"
Set,Aseta
"Enable Category","Ota kategoria käyttöön"
"Include in Menu","Sisällytä valikkoon"
"Category Image","Kategorian kuva"
"Add CMS Block","Lisää CMS-lohko"
"Display Settings",Näyttöasetukset
"URL Key",URL-osoite
"Meta Title","Meta otsikko"
"Meta Keywords","Meta avainsanat"
"Meta Description",Metakuvaus
"Products in Category","Kategorian tuotteet"
Theme,Teema
Layout,Asettelu
"Product Image Watermarks","Tuotekuvien vesileimat"
"Allowed file types: jpeg, gif, png.","Sallitut tiedostotyypit: jpeg, gif, png."
"Image Opacity","Kuvan läpinäkyvyys"
"Example format: 200x300.","Esimerkkimuoto: 200x300."
"Image Position","Kuvan sijainti"
"Attribute Properties","Attribuutin ominaisuudet"
Values,Arvot
"Delete selected items?","Poista valitut kohteet?"
"Delete items","Poista kohteet"
"Change status","Muuta tila"
"Update attributes","Päivitä attribuutit"
Overview,Yleiskatsaus
"Recently Compared","Äskettäin vertaillut"
"Add To Cart","Lisää ostoskoriin"
"Add To Compare","Lisää vertailuun"
"Learn more",Lisätietoja
"Recently Viewed","Äskettäin tarkastellut"
"Edit Event","Muokkaa tapahtumaa"
"Add Event","Lisää Tapahtuma"
Events,Tapahtumat
"Add Catalog Event","Lisää luettelotapahtuma"
"Back to Category","Takaisin kategoriaan"
"Edit Catalog Event","Muokkaa luettelotapahtumaa"
"Catalog Event Information","Luettelotapahtuman tiedot"
Upcoming,Tuleva(t)
Open,Avaa
Closed,Suljettu
"Category Page",Kategoriasivu
"Product Page",Tuotesivu
"Coming Soon","Tulossa pian"
"Sale Ends In","Alennusmyynnin päättymiseen"
"You deleted the event.","Poistit tapahtuman."
"New Event","Uusi tapahtuma"
"Something went wrong while saving this event.","Tapahtui virhe tallennettaessa tätä tapahtumaa."
"We did not upload your image.","Kuvaa ei lähetetty."
"You saved the event.","Tallensit tapahtuman."
"%1 is required.","%1 on pakollinen."
"Please make sure the end date follows the start date.","Varmista että päättymispäivä seuraa aloituspäivää."
"This product is no longer on sale.","Tämä tuote ei ole enää alennusmyynnissä."
"Select Category","Valitse kategoria"
Hrs,Tuntia
Mins,Minuuttia
Sec,Sekuntia
"Preview Sale","Esikatsele alennusmyyntiä"
"Go To Sale","Siirry alennusmyyntiin"
"View Sale","Tarkastele alennusmyyntiä"
Days,Päivää
"Catalog Events","Luettelon tapahtumat"
"Block Custom Width","Lohkon mukautettu leveys"
"If empty, we'll automatically set the width value in pixels.","Jos tyhjä, leveys määritetään automaattisesti pikseleinä."
"Category ID","Kategoria ID"
Start,Aloita
End,Loppu
"Category doesn't exist","Kategoriaa ei ole olemassa"
"There are no product types available for export.","Vietäviä tuotetyyppejä ei ole saatavilla."
"Category ""%1"" has not been created.","Kategoriaa ""%1"" ei ole luotu."
"File directory '%1' is not readable.","Tiedostokansio '%1' ei ole luettavissa."
"File directory '%1' is not writable.","Tiedostokansio '%1' ei ole kirjoitettavissa."
"Please correct the parameters.","Korjaa parametrit."
"File '%1' was not found or has read restriction.","Tiedostoa '%1' ei löydy tai sillä on lukurajoitus."
"Minimum Qty",Vähimmäismäärä
"Add Minimum Qty","Lisää vähimmäismäärä"
"This product is out of stock.","Tämä tuote on loppu varastosta."
"Some of the products are out of stock.","Jotkut tuotteet ovat loppu varastosta."
"Undefined product type","Määrittämätön tuotetyyppi"
"No Backorders","Ei jälkitoimituksia"
"Allow Qty Below 0","Salli määrät alle 0"
"Allow Qty Below 0 and Notify Customer","Salli määrä alle 0 ja ilmoita asiakkaalle"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Meillä ei ole niin montaa kappaletta tuotetta ""%1"" kuin haluat, mutta siirretään tilaukselle jäljellä olevat %2."
"Stock Status",Varastotilanne
"Only %1 left","Vain %1 jäljellä"
"Product availability","Tuotteen saatavuus"
"Stock Options","Varaston asetukset"
"Only X left Threshold","""Vain X jäljellä"" kynnysarvo"
"Display Products Availability in Stock on Storefront","Näytä tuotteiden määrä varastossa kaupan etusivulla"
Stock,Varasto
"New Permission","Uusi oikeus"
"You already have a permission with this scope.","Sinulla on jo käyttöoikeus vaikutusalueen kanssa."
(Allow),(Salli)
(Deny),(Estä)
"Category Permissions","Kategorian käyttöoikeudet"
"Display Product Prices","Näytä tuotehinnat"
"No, Redirect to Landing Page","Ei, ohjaa aloitussivulle"
"You cannot add ""%1"" to the cart.","Et voi lisätä ""%1"" ostoskoriin."
"All Customer Groups","Kaikki asiakasryhmät"
Allow,Salli
Deny,Estä
"Landing Page",Aloitussivu
"Allow Adding to Cart","Salli lisääminen ostoskoriin"
"Delete Rule","Poista sääntö"
"Save and Apply","Tallenna ja käytä"
"Catalog Price Rule","Tuoteluettelon hintasääntö"
"Add New Rule","Lisää uusi sääntö"
"Apply Rules","Käytä sääntöjä"
Conditions,Ehdot
"Conditions (don't add conditions if rule is applied to all products)","Ehdot (älä lisää ehtoja jos sääntöä sovelletaan kaikkiin nimikkeisiin)"
Promotions,Myynninedistäminen
"We can't apply the rules.","Sääntöjä ei voida ottaa käyttöön."
"You deleted the rule.","Poistit säännön."
"We can't delete this rule right now. Please review the log and try again.","Tätä sääntöä ei voida poistaa juuri nyt. Tarkista loki ja yritä uudelleen."
"We can't find a rule to delete.","Poistettavaa sääntöä ei löydy."
"New Catalog Price Rule","Uusi tuoteluettelon hintasääntö"
"Edit Rule","Muokkaa sääntöä"
"New Rule","Uusi sääntö"
"You saved the rule.","Tallensit säännön."
"Update the Product","Päivitä tuote"
"Rule price","Säännön hinta"
"To Fixed Value","Kiinteään arvoon"
"By Fixed value","Kiinteällä arvolla"
"Apply as fixed amount","Sovella kiinteänä määränä"
"Conditions Combination","Ehtojen yhdistäminen"
"Product Attribute","Tuotteen attribuutti"
"Rule Information","Säännön tiedot"
"Rule Name","Säännön nimi"
Priority,Prioriteetti
"Discard subsequent rules","Hylkää seuraavat peräkkäiset säännöt"
"Smth went to exception","Jotain meni poikkeustilaan"
"Scheduled Changes","Ajoitetut muutokset"
"Update Information","Päivitä tiedot"
"Schedule Update","Ajoita päivitys"
"Update Name","Päivitä nimi"
"Save as a New Update","Tallenna uutena päivityksenä"
"Delete the Update","Poista päivitys"
"End Time",Päättymisaika
"Catalog Price Rules","Tuoteluettelon hintasäännöt"
"Catalog Advanced Search","Katalogin monipuolinen haku"
"Search Weight","Haun painotus"
Relevance,Liittyvyys
"Search results for: '%1'","Hakutulokset: '%1'"
"Minimum Search query length is %1","Hakutermin minimipituus on %1"
"Search Settings","Haun asetukset"
"Advanced Search","Laajennettu haku"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 nimike</strong> löytyi seuraavilla hakuehdoilla"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 nimikettä</strong> löytyi seuraavilla hakuehdoilla"
"We can't find any items matching these search criteria.","Hakua vastaavia kohteita ei löydy."
"Modify your search.","Muokkaa hakua."
"Don't see what you're looking for?","Etkö löydä etsimääsi?"
"Your search returned no results.","Hakusi ei tuottanut tuloksia."
"Popular Search Terms","Suosituimmat hakusanat"
View/Edit,Näytä/Muokkaa
Preview,Esikatselu
"Set Product as New","Merkitse tuote uutuudeksi"
"Store View:",Kauppanäkymä:
"Sort Products By","Lajittele tuotteet"
"Default Product Sorting","Tuotteiden oletuslajittelu"
"New Theme","Uusi teema"
Path,Polku
"Create Permanent Redirect for old URL","Luo pysyvä uudelleenohjaus vanhalle URL:lle"
"Invalid URL key","Virheellinen URL-osoitteen avain"
"Category URL Suffix","Kategorian URL-jälkiliite"
"You need to refresh the cache.","Sinun täytyy päivittää välimuistit."
"Product URL Suffix","Tuotteen URL-jälkiliite"
"Please choose a condition to add.","Valitse Lisättävä ehto."
"My Cart (1 item)","Ostoskori (1 kohde)"
"My Cart (%1 items)","Ostoskori (%1 kohdetta)"
"My Cart",Ostoskori
"For delivery questions.",Toimituskysymyksille.
"Customer is already registered","Asiakas on jo rekisteröity"
"Your session has expired","Istuntosi on vanhentunut"
"A letter with further instructions will be sent to your email.","Viesti tarkempine ohjeineen lähetetään sähköpostiisi."
"We cannot configure the product.","Tuotetta ei voida määrittää."
"You used coupon code ""%1"".","Käytit kuponkia ""%1""."
"You canceled the coupon code.","Peruutit alennuskoodin."
"We cannot apply the coupon code.","Alennuskoodia ei voitu soveltaa."
"We can't remove the item.","Emme voi poistaa tuotetta."
"%1 was updated in your shopping cart.","%1 päivitettiin ostoskorissa."
"We can't update the item right now.","Tuotetta ei voida päivittää juuri nyt."
"Page Not Found","Sivua ei löytynyt"
"We can't update the shopping cart.","Ostoskoria ei voida päivittää."
"One-page checkout is turned off.","Yhden sivun kassa on poistettu käytöstä."
"Guest checkout is disabled.","Vieraana tilaaminen on poistettu käytöstä."
Checkout,Kassa
"Page not found.","Sivua ei löydy."
"Something went wrong while processing your order. Please try again later.","Jokin meni vikaan tilauksen käsittelyssä. Yritä myöhemmin uudelleen."
"Payment Method",Maksutapa
"Payment Page",Maksusivu
"Please provide CAPTCHA code and try again","Anna CAPTCHA-koodi ja yritä uudelleen"
"We found an invalid request for adding product to quote.","Löysimme virheellisen pyynnön lisätä tuote tarjoukseen."
"The product does not exist.","Tuotetta ei ole olemassa."
"We don't have some of the products you want.","Meillä ei ole joitakin haluamistasi tuotteista."
"We don't have as many of some products as you want.","Meillä ei ole niin montaa kappaletta joitakin tuotteita kuin haluat."
"Quantity was recalculated from %1 to %2","Määrää laskettiin %1 -> %2"
"We adjusted product quantities to fit the required increments.","Säädimme tuotemäärät vaatimukset täyttäviksi."
"This quote item does not exist.","Tarjouskohdetta ei ole."
"Display number of items in cart","Ostoskorissa näytettävien tuotteiden määrä"
"Display item quantities","Näytä nimikkeiden määrät"
"Carrier with such method not found: %1, %2","Toimittajaa tällä metodilla ei löytynyt: %1, %2"
" item"," nimike"
" items"," tuotetta"
"Totals calculation is not applicable to empty cart","Yhteenlasku ei koske tyhjää ostoskoria"
"Invalid data","Virheellinen tieto"
"The customer address is not valid.","Asiakkaan osoite on virheellinen."
"Invalid shipping method","Virheellinen toimitustapa"
"There are more than one shipping addresses.","Käytössä on useampi kuin yksi toimitusosoite."
"Sorry, guest checkout is not available.","Pahoittelut, mutta ostot ilman sisäänkirjautumista eivät ole saatavilla."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Sinulle on lähetetty sähköpostilla linkki, jolla voit vahvista tilisi tai <a href=""%1"">klikkaa tästä</a> tilataksesi uuden linkin."
"Load customer quote error","Asiakkaan tarjouksen latausvirhe"
"Invalid method: %1","Epäkelpo menetelmä: %1"
Error!,Virhe!
"DB exception",Tietokantavirhe
"Print receipt","Tulosta kuitti"
"Apply Discount Code","Käytä alennuskoodi"
"Enter discount code","Syötä alennuskoodi"
"Apply Discount","Ota alennus käyttöön"
"Cancel Coupon","Peruuta kuponki"
"Continue Shopping","Jatka ostoksia"
"Clear Shopping Cart","Tyhjennä ostoskori"
"Update Shopping Cart","Päivitä ostoskori"
"Update Cart","Päivitä ostoskori"
"You have no items in your shopping cart.","Sinulla ei ole tuotteita ostoskorissasi."
"Click <a href=""%1"">here</a> to continue shopping.","Klikkaa <a href=""%1""> tästä</a> jatkaaksesi ostoksia."
"Estimate Tax","Arvioi vero"
"Estimate Shipping and Tax","Arvioi toimituskulut ja vero"
"You added %1 to your <a href=""%2"">shopping cart</a>.","%1 lisättiin <a href=""%2"">ostoskoriin</a>."
"Order #",Tilausnumero
"Proceed to Checkout","Siirry kassalle"
"Your order number is: %1.","Tilauksesi numero on: %1."
"Your order # is: <span>%1</span>.","Sinun tilauksesi # on: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Lähetämme sinulle tilausvahvistuksen ja seurantatiedot."
"Payment Transaction Failed Reminder","Maksamisen epäonnistumisen muistutus"
"Payment Transaction Failed","Maksaminen epäonnistui"
Reason,Syy
"Checkout Type",Tilaustyyppi
Customer:,Asiakas:
Total:,Yhteensä:
"Billing Address:",Laskutusosoite:
"Shipping Address:",Toimitusosoite:
"Shipping Method:",Toimitustapa:
"Payment Method:",Maksutapa:
"Date & Time:","Päivämäärä & aika:"
"Sign In","Kirjaudu sisään"
"Email Address",Sähköpostiosoite
"Forgot Your Password?","Unohditko salasanasi?"
"My billing and shipping address are the same","Laskutus- ja toimitusosoite ovat samat"
Update,Päivitä
"Save in address book","Tallenna osoitekirjaan"
"Enter your destination to get a shipping estimate.","Syötä toimitusosoitteesi saadaksesi arvion toimituskuluista."
"Sorry, no quotes are available for this order at this time","Valitettavasti toimituskuluja ei voida laskea tälle tilaukselle toistaiseksi"
"Estimated Total","Arvioitu loppusumma"
"You can create an account after checkout.","Voit luoda tilin kassan jälkeen."
"You already have an account with us. Sign in or continue as guest.","Sinulla on jo tili. Kirjaudu sisään tai jatkaa vieraana."
Login,Kirjaudu
"Items in Cart","Tuotetta ostoskorissa"
"Item in Cart","Tuote ostoskorissa"
"View and Edit Cart","Tarkastele ja muokkaa ostoskoria"
"See Details","Katso lisätietoja"
"Options Details","Vaihtoehdot tiedot"
"Cart Subtotal","Ostoskorin välisumma"
"No Payment method available.","Maksutapaa ei ole saatavilla."
"You can track your order status by creating an account.","Voit seurata tilaustasi luomalla asiakastilin."
"Create an Account","Luo tili"
"Forgot an Item?","Unohditko tuotteen?"
"Edit Your Cart","Muokkaa ostoskoria"
"Ship Here","Lähetä tänne"
"Ship To:",Vastaanottaja:
edit,muokkaa
"Shipping Address",Toimitusosoite
"New Address","Uusi osoite"
"Shipping Methods",Toimitustavat
"Order Summary","Tilauksen yhteenveto"
"Provided Zip/Postal Code seems to be invalid.","Syöttämäsi postinumero näyttäisi olevan virheellinen."
